job_title,required_skills,experience,min_experience,max_experience,skills_list
Data Scientist,"Python, SQL, Machine Learning, Pandas, grow, probably",0-7 years,0,7,"['python', 'sql', 'machine learning', 'pandas', 'grow', 'probably']"
Frontend Developer,"JavaScript, React, HTML/CSS, purpose, response",5-3 years,5,3,"['javascript', 'react', 'html/css', 'purpose', 'response']"
Frontend Developer,"JavaScript, React, HTML/CSS, news, always",4-6 years,4,6,"['javascript', 'react', 'html/css', 'news', 'always']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, appear, morning",2-2 years,2,2,"['python', 'sql', 'machine learning', 'pandas', 'appear', 'morning']"
Frontend Developer,"JavaScript, React, HTML/CSS, blood, finish",5-8 years,5,8,"['javascript', 'react', 'html/css', 'blood', 'finish']"
Frontend Developer,"JavaScript, React, HTML/CSS, continue, style",4-7 years,4,7,"['javascript', 'react', 'html/css', 'continue', 'style']"
DevOps Engineer,"AWS, Docker, Kubernetes, hard, place",0-2 years,0,2,"['aws', 'docker', 'kubernetes', 'hard', 'place']"
Frontend Developer,"JavaScript, React, HTML/CSS, agent, southern",0-5 years,0,5,"['javascript', 'react', 'html/css', 'agent', 'southern']"
Frontend Developer,"JavaScript, React, HTML/CSS, toward, center",0-3 years,0,3,"['javascript', 'react', 'html/css', 'toward', 'center']"
Frontend Developer,"JavaScript, React, HTML/CSS, structure, thus",2-10 years,2,10,"['javascript', 'react', 'html/css', 'structure', 'thus']"
DevOps Engineer,"AWS, Docker, Kubernetes, black, onto",1-6 years,1,6,"['aws', 'docker', 'kubernetes', 'black', 'onto']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, story, star",4-4 years,4,4,"['python', 'sql', 'machine learning', 'pandas', 'story', 'star']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, eye, ever",0-3 years,0,3,"['python', 'sql', 'machine learning', 'pandas', 'eye', 'ever']"
DevOps Engineer,"AWS, Docker, Kubernetes, leader, also",4-10 years,4,10,"['aws', 'docker', 'kubernetes', 'leader', 'also']"
DevOps Engineer,"AWS, Docker, Kubernetes, indeed, itself",2-9 years,2,9,"['aws', 'docker', 'kubernetes', 'indeed', 'itself']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, difference, to",0-7 years,0,7,"['python', 'sql', 'machine learning', 'pandas', 'difference', 'to']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, artist, may",1-7 years,1,7,"['python', 'sql', 'machine learning', 'pandas', 'artist', 'may']"
Frontend Developer,"JavaScript, React, HTML/CSS, guy, simply",1-8 years,1,8,"['javascript', 'react', 'html/css', 'guy', 'simply']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, which, prevent",5-3 years,5,3,"['python', 'sql', 'machine learning', 'pandas', 'which', 'prevent']"
DevOps Engineer,"AWS, Docker, Kubernetes, bank, front",5-10 years,5,10,"['aws', 'docker', 'kubernetes', 'bank', 'front']"
DevOps Engineer,"AWS, Docker, Kubernetes, rather, food",1-4 years,1,4,"['aws', 'docker', 'kubernetes', 'rather', 'food']"
Frontend Developer,"JavaScript, React, HTML/CSS, call, production",2-5 years,2,5,"['javascript', 'react', 'html/css', 'call', 'production']"
DevOps Engineer,"AWS, Docker, Kubernetes, do, opportunity",4-10 years,4,10,"['aws', 'docker', 'kubernetes', 'do', 'opportunity']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, person, guess",2-9 years,2,9,"['python', 'sql', 'machine learning', 'pandas', 'person', 'guess']"
Frontend Developer,"JavaScript, React, HTML/CSS, choice, its",0-3 years,0,3,"['javascript', 'react', 'html/css', 'choice', 'its']"
DevOps Engineer,"AWS, Docker, Kubernetes, let, place",4-9 years,4,9,"['aws', 'docker', 'kubernetes', 'let', 'place']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, especially, ten",5-6 years,5,6,"['python', 'sql', 'machine learning', 'pandas', 'especially', 'ten']"
DevOps Engineer,"AWS, Docker, Kubernetes, three, player",5-3 years,5,3,"['aws', 'docker', 'kubernetes', 'three', 'player']"
Frontend Developer,"JavaScript, React, HTML/CSS, industry, make",2-4 years,2,4,"['javascript', 'react', 'html/css', 'industry', 'make']"
Frontend Developer,"JavaScript, React, HTML/CSS, hundred, fly",3-9 years,3,9,"['javascript', 'react', 'html/css', 'hundred', 'fly']"
DevOps Engineer,"AWS, Docker, Kubernetes, protect, opportunity",2-9 years,2,9,"['aws', 'docker', 'kubernetes', 'protect', 'opportunity']"
Frontend Developer,"JavaScript, React, HTML/CSS, best, major",2-5 years,2,5,"['javascript', 'react', 'html/css', 'best', 'major']"
DevOps Engineer,"AWS, Docker, Kubernetes, foreign, total",1-8 years,1,8,"['aws', 'docker', 'kubernetes', 'foreign', 'total']"
DevOps Engineer,"AWS, Docker, Kubernetes, ball, all",1-6 years,1,6,"['aws', 'docker', 'kubernetes', 'ball', 'all']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, base, three",1-2 years,1,2,"['python', 'sql', 'machine learning', 'pandas', 'base', 'three']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, add, those",2-4 years,2,4,"['python', 'sql', 'machine learning', 'pandas', 'add', 'those']"
DevOps Engineer,"AWS, Docker, Kubernetes, share, yeah",2-4 years,2,4,"['aws', 'docker', 'kubernetes', 'share', 'yeah']"
Frontend Developer,"JavaScript, React, HTML/CSS, road, itself",5-10 years,5,10,"['javascript', 'react', 'html/css', 'road', 'itself']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, seat, light",5-5 years,5,5,"['python', 'sql', 'machine learning', 'pandas', 'seat', 'light']"
Frontend Developer,"JavaScript, React, HTML/CSS, war, effort",1-3 years,1,3,"['javascript', 'react', 'html/css', 'war', 'effort']"
DevOps Engineer,"AWS, Docker, Kubernetes, so, friend",1-6 years,1,6,"['aws', 'docker', 'kubernetes', 'so', 'friend']"
Frontend Developer,"JavaScript, React, HTML/CSS, material, will",1-9 years,1,9,"['javascript', 'react', 'html/css', 'material', 'will']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, why, allow",4-7 years,4,7,"['python', 'sql', 'machine learning', 'pandas', 'why', 'allow']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, plan, explain",0-3 years,0,3,"['python', 'sql', 'machine learning', 'pandas', 'plan', 'explain']"
DevOps Engineer,"AWS, Docker, Kubernetes, according, score",0-6 years,0,6,"['aws', 'docker', 'kubernetes', 'according', 'score']"
DevOps Engineer,"AWS, Docker, Kubernetes, value, place",3-8 years,3,8,"['aws', 'docker', 'kubernetes', 'value', 'place']"
DevOps Engineer,"AWS, Docker, Kubernetes, scene, family",0-2 years,0,2,"['aws', 'docker', 'kubernetes', 'scene', 'family']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, week, special",0-7 years,0,7,"['python', 'sql', 'machine learning', 'pandas', 'week', 'special']"
Frontend Developer,"JavaScript, React, HTML/CSS, company, myself",5-5 years,5,5,"['javascript', 'react', 'html/css', 'company', 'myself']"
Frontend Developer,"JavaScript, React, HTML/CSS, central, hospital",2-10 years,2,10,"['javascript', 'react', 'html/css', 'central', 'hospital']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, place, least",1-3 years,1,3,"['python', 'sql', 'machine learning', 'pandas', 'place', 'least']"
DevOps Engineer,"AWS, Docker, Kubernetes, laugh, political",5-3 years,5,3,"['aws', 'docker', 'kubernetes', 'laugh', 'political']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, public, future",2-5 years,2,5,"['python', 'sql', 'machine learning', 'pandas', 'public', 'future']"
Frontend Developer,"JavaScript, React, HTML/CSS, course, attention",4-4 years,4,4,"['javascript', 'react', 'html/css', 'course', 'attention']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, paper, anyone",1-9 years,1,9,"['python', 'sql', 'machine learning', 'pandas', 'paper', 'anyone']"
DevOps Engineer,"AWS, Docker, Kubernetes, firm, keep",5-10 years,5,10,"['aws', 'docker', 'kubernetes', 'firm', 'keep']"
Frontend Developer,"JavaScript, React, HTML/CSS, place, his",2-3 years,2,3,"['javascript', 'react', 'html/css', 'place', 'his']"
DevOps Engineer,"AWS, Docker, Kubernetes, thing, reach",1-4 years,1,4,"['aws', 'docker', 'kubernetes', 'thing', 'reach']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, Democrat, still",3-3 years,3,3,"['python', 'sql', 'machine learning', 'pandas', 'democrat', 'still']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, follow, training",0-3 years,0,3,"['python', 'sql', 'machine learning', 'pandas', 'follow', 'training']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, floor, full",2-3 years,2,3,"['python', 'sql', 'machine learning', 'pandas', 'floor', 'full']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, parent, organization",0-2 years,0,2,"['python', 'sql', 'machine learning', 'pandas', 'parent', 'organization']"
