job_title,company,candidate_job_title,candidate_min_exp,candidate_max_exp,match_score
Mental Health Therapist,Included Health,DevOps Engineer,0,5,1
Mental Health Therapist,Included Health,DevOps Engineer,5,10,1
Mental Health Therapist,Included Health,DevOps Engineer,0,5,1
Mental Health Therapist,Included Health,DevOps Engineer,1,7,1
Mental Health Therapist,Included Health,DevOps Engineer,5,6,1
Mental Health Therapist,Included Health,Data Scientist,4,4,1
Mental Health Therapist,Included Health,Frontend Developer,5,10,1
Mental Health Therapist,Included Health,DevOps Engineer,1,2,1
Mental Health Therapist,Included Health,Data Scientist,0,4,1
Mental Health Therapist,Included Health,Data Scientist,3,4,1
Mental Health Therapist,Included Health,Data Scientist,2,10,1
Mental Health Therapist,Included Health,DevOps Engineer,0,9,1
Mental Health Therapist,Included Health,Data Scientist,4,5,1
Mental Health Therapist,Included Health,DevOps Engineer,0,5,1
Mental Health Therapist,Included Health,DevOps Engineer,2,9,1
Mental Health Therapist,Included Health,Data Scientist,5,2,1
Mental Health Therapist,Included Health,Frontend Developer,5,2,1
Mental Health Therapist,Included Health,Frontend Developer,2,6,1
Mental Health Therapist,Included Health,DevOps Engineer,4,10,1
Mental Health Therapist,Included Health,Data Scientist,4,9,1
Mental Health Therapist,Included Health,DevOps Engineer,5,6,1
Mental Health Therapist,Included Health,Frontend Developer,3,9,1
Mental Health Therapist,Included Health,Frontend Developer,1,4,1
Mental Health Therapist,Included Health,DevOps Engineer,0,10,1
Mental Health Therapist,Included Health,Data Scientist,4,9,1
Mental Health Therapist,Included Health,Frontend Developer,4,4,1
Mental Health Therapist,Included Health,DevOps Engineer,1,5,1
Mental Health Therapist,Included Health,Data Scientist,1,10,1
Mental Health Therapist,Included Health,DevOps Engineer,5,6,1
Mental Health Therapist,Included Health,DevOps Engineer,0,3,1
Mental Health Therapist,Included Health,Frontend Developer,2,4,1
Mental Health Therapist,Included Health,DevOps Engineer,2,9,1
Mental Health Therapist,Included Health,Frontend Developer,4,5,1
Mental Health Therapist,Included Health,Frontend Developer,2,6,1
Mental Health Therapist,Included Health,DevOps Engineer,1,9,1
Mental Health Therapist,Included Health,Data Scientist,4,5,1
Mental Health Therapist,Included Health,DevOps Engineer,1,3,1
Mental Health Therapist,Included Health,DevOps Engineer,1,3,1
Mental Health Therapist,Included Health,DevOps Engineer,2,8,1
Mental Health Therapist,Included Health,Frontend Developer,1,9,1
Mental Health Therapist,Included Health,Frontend Developer,1,7,1
Mental Health Therapist,Included Health,Data Scientist,2,2,1
Mental Health Therapist,Included Health,Frontend Developer,0,6,1
Mental Health Therapist,Included Health,DevOps Engineer,5,3,1
Mental Health Therapist,Included Health,Data Scientist,3,7,1
Mental Health Therapist,Included Health,Frontend Developer,3,9,1
Mental Health Therapist,Included Health,Frontend Developer,4,8,1
Mental Health Therapist,Included Health,DevOps Engineer,2,8,1
Mental Health Therapist,Included Health,Data Scientist,5,9,1
Mental Health Therapist,Included Health,Data Scientist,2,6,1
Mental Health Therapist,Included Health,Data Scientist,1,3,1
Mental Health Therapist,Included Health,DevOps Engineer,5,3,1
Mental Health Therapist,Included Health,Data Scientist,2,3,1
Mental Health Therapist,Included Health,Frontend Developer,5,2,1
Mental Health Therapist,Included Health,Data Scientist,3,9,1
Mental Health Therapist,Included Health,DevOps Engineer,2,7,1
Mental Health Therapist,Included Health,Frontend Developer,2,4,1
Heavy Maintenance Representative,Allegiant,Data Scientist,4,10,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,5,6,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,0,7,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,1,5,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,0,2,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,1,9,1
